> Back in the day, the programming used up all the space on a cartridge, so if
> we wanted to add something new, we had to clean it up first... First we'd
> find enough space, then we could make what we wanted... It was a pain!
> 
> -- Morimoto, Pokémon Ultra Sun/Ultra Moon
> <https://www.serebii.net/ultrasunultramoon/virtualconsole.shtml>

Free space: 833262/2097152 (39.73%)

bank	end	free
$00	$3ffe	$0002
$01	$7fb5	$004b
$02	$7ffb	$0005
$03	$7fa6	$005a
$04	$7fd0	$0030
$05	$7fb7	$0049
$06	$7e54	$01ac
$07	$7df6	$020a
$08	$7fd1	$002f
$09	$7f75	$008b
$0a	$7e2c	$01d4
$0b	$7eac	$0154
$0c	$7ed6	$012a
$0d	$7fe9	$0017
$0e	$7f95	$006b
$0f	$7ff9	$0007
$10	$7ef5	$010b
$11	$7ef5	$010b
$12	$7fd7	$0029
$13	$7ff4	$000c
$14	$7da9	$0257
$15	$7ff2	$000e
$16	$7ff5	$000b
$17	$7ebc	$0144
$18	$7f48	$00b8
$19	$7cf2	$030e
$1a	$7f18	$00e8
$1b	$7ea6	$015a
$1c	$7f85	$007b
$1d	$7f85	$007b
$1e	$7e6e	$0192
$1f	$7d66	$029a
$20	$7fc1	$003f
$21	$7f4e	$00b2
$22	$7ec0	$0140
$23	$7dbf	$0241
$24	$7f24	$00dc
$25	$7ceb	$0315
$26	$7f58	$00a8
$27	$7f10	$00f0
$28	$7f29	$00d7
$29	$7f37	$00c9
$2a	$7ff5	$000b
$2b	$7c92	$036e
$2c	$7aa3	$055d
$2d	$7fd6	$002a
$2e	$7f4d	$00b3
$2f	$7988	$0678
$30	$7f34	$00cc
$31	$7fc7	$0039
$32	$7f4e	$00b2
$33	$7fd5	$002b
$34	$7e66	$019a
$35	$7c7c	$0384
$36	$7fea	$0016
$37	$7f21	$00df
$38	$7887	$0779
$39	$7fe6	$001a
$3a	$7fb2	$004e
$3b	$7fff	$0001
$3c	$7f84	$007c
$3d	$7f61	$009f
$3e	$7ffe	$0002
$3f	$8000	$0000
$40	$7fba	$0046
$41	$7df7	$0209
$42	$7afe	$0502
$43	$7ab7	$0549
$44	$7a4a	$05b6
$45	$77b8	$0848
$46	$7fe5	$001b
$47	$7e75	$018b
$48	$7fe2	$001e
$49	$7ff0	$0010
$4a	$7efe	$0102
$4b	$7ebc	$0144
$4c	$75cd	$0a33
$4d	$7f96	$006a
$4e	$7ab4	$054c
$4f	$4000	$4000
$50	$4000	$4000
$51	$4000	$4000
$52	$4000	$4000
$53	$4000	$4000
$54	$4000	$4000
$55	$4000	$4000
$56	$4000	$4000
$57	$4000	$4000
$58	$4000	$4000
$59	$4000	$4000
$5a	$4000	$4000
$5b	$4000	$4000
$5c	$4000	$4000
$5d	$4000	$4000
$5e	$4000	$4000
$5f	$4000	$4000
$60	$4000	$4000
$61	$4000	$4000
$62	$4000	$4000
$63	$4000	$4000
$64	$4000	$4000
$65	$4000	$4000
$66	$4000	$4000
$67	$4000	$4000
$68	$4000	$4000
$69	$4000	$4000
$6a	$4000	$4000
$6b	$4000	$4000
$6c	$4000	$4000
$6d	$4000	$4000
$6e	$4000	$4000
$6f	$4000	$4000
$70	$4000	$4000
$71	$4000	$4000
$72	$4000	$4000
$73	$4000	$4000
$74	$4000	$4000
$75	$4000	$4000
$76	$4000	$4000
$77	$4000	$4000
$78	$4000	$4000
$79	$4000	$4000
$7a	$4000	$4000
$7b	$4000	$4000
$7c	$4000	$4000
$7d	$4000	$4000
$7e	$4000	$4000
$7f	$4000	$4000
